EXTRACTIONDATE,DATE,YEAR,MONTH,GLOSA,INDEX,Monthly_variation(%),LIKELIHOODOFDEFAULT
2024-03-23,2019-01-01,2019,1,ICT Sin Diésel,103.41,1.9,0.091579
2024-03-23,2019-02-01,2019,2,ICT Sin Diésel,101.26,-2.1,0.098561
2024-03-23,2019-03-01,2019,3,ICT Sin Diésel,99.6,-1.6,0.098208
2024-03-23,2019-04-01,2019,4,ICT Sin Diésel,99.95,0.4,0.096204
2024-03-23,2019-05-01,2019,5,ICT Sin Diésel,102.0,2.0,0.103981
2024-03-23,2019-06-01,2019,6,ICT Sin Diésel,101.84,-0.2,0.106122
2024-03-23,2019-07-01,2019,7,ICT Sin Diésel,101.15,-0.7,0.105246
2024-03-23,2019-08-01,2019,8,ICT Sin Diésel,101.9,0.7,0.117354
2024-03-23,2019-09-01,2019,9,ICT Sin Diésel,101.98,0.1,0.116293
2024-03-23,2019-10-01,2019,10,ICT Sin Diésel,103.67,1.7,0.106816
2024-03-23,2019-11-01,2019,11,ICT Sin Diésel,104.47,0.8,0.116278
2024-03-23,2019-12-01,2019,12,ICT Sin Diésel,103.42,-1.0,0.150679
2024-03-23,2020-01-01,2020,1,ICT Sin Diésel,105.04,1.6,0.107466
2024-03-23,2020-02-01,2020,2,ICT Sin Diésel,105.78,0.7,0.12748
2024-03-23,2020-03-01,2020,3,ICT Sin Diésel,104.33,-1.4,0.111064
2024-03-23,2020-04-01,2020,4,ICT Sin Diésel,104.92,0.6,0.116388
2024-03-23,2020-05-01,2020,5,ICT Sin Diésel,103.97,-0.9,0.144637
2024-03-23,2020-06-01,2020,6,ICT Sin Diésel,101.62,-2.3,0.155965
2024-03-23,2020-07-01,2020,7,ICT Sin Diésel,100.5,-1.1,0.167577
2024-03-23,2020-08-01,2020,8,ICT Sin Diésel,99.99,-0.5,0.167167
2024-03-23,2020-09-01,2020,9,ICT Sin Diésel,100.34,0.4,0.165702
2024-03-23,2020-10-01,2020,10,ICT Sin Diésel,101.5,1.2,0.161358
2024-03-23,2020-11-01,2020,11,ICT Sin Diésel,101.45,0.0,0.153207
2024-03-23,2020-12-01,2020,12,ICT Sin Diésel,102.73,1.3,0.179839
2024-03-23,2021-01-01,2021,1,ICT Sin Diésel,103.93,1.2,0.155121
2024-03-23,2021-02-01,2021,2,ICT Sin Diésel,104.58,0.6,0.165026
2024-03-23,2021-03-01,2021,3,ICT Sin Diésel,103.44,-1.1,0.154953
2024-03-23,2021-04-01,2021,4,ICT Sin Diésel,104.0,0.5,0.142111
2024-03-23,2021-05-01,2021,5,ICT Sin Diésel,104.38,0.4,0.168905
2024-03-23,2021-06-01,2021,6,ICT Sin Diésel,103.69,-0.7,0.148559
2024-03-23,2021-07-01,2021,7,ICT Sin Diésel,104.6,0.9,0.144391
2024-03-23,2021-08-01,2021,8,ICT Sin Diésel,105.97,1.3,0.166013
2024-03-23,2021-09-01,2021,9,ICT Sin Diésel,106.43,0.4,0.157074
2024-03-23,2021-10-01,2021,10,ICT Sin Diésel,110.18,3.5,0.139014
2024-03-23,2021-11-01,2021,11,ICT Sin Diésel,110.24,0.1,0.169125
2024-03-23,2021-12-01,2021,12,ICT Sin Diésel,112.2,1.8,0.158201
2024-03-23,2022-01-01,2022,1,ICT Sin Diésel,116.23,3.6,0.150357
2024-03-23,2022-02-01,2022,2,ICT Sin Diésel,116.13,-0.1,0.186335
2024-03-23,2022-03-01,2022,3,ICT Sin Diésel,115.46,-0.6,0.172435
2024-03-23,2022-04-01,2022,4,ICT Sin Diésel,116.69,1.1,0.177041
2024-03-23,2022-05-01,2022,5,ICT Sin Diésel,118.91,1.9,0.177975
2024-03-23,2022-06-01,2022,6,ICT Sin Diésel,118.71,-0.2,0.190059
2024-03-23,2022-07-01,2022,7,ICT Sin Diésel,119.41,0.6,0.161217
2024-03-23,2022-08-01,2022,8,ICT Sin Diésel,121.62,1.8,0.202488
2024-03-23,2022-09-01,2022,9,ICT Sin Diésel,124.48,2.4,0.193998
2024-03-23,2022-10-01,2022,10,ICT Sin Diésel,126.88,1.9,0.193159
2024-03-23,2022-11-01,2022,11,ICT Sin Diésel,127.96,0.8,0.206559
2024-03-23,2022-12-01,2022,12,ICT Sin Diésel,128.53,0.5,0.20352
2024-03-23,2023-01-01,2023,1,ICT Sin Diésel,132.02,2.7,0.19012
2024-03-23,2023-02-01,2023,2,ICT Sin Diésel,134.15,1.6,0.237306
2024-03-23,2023-03-01,2023,3,ICT Sin Diésel,132.97,-0.9,0.234675
2024-03-23,2023-04-01,2023,4,ICT Sin Diésel,132.47,-0.4,0.225337
2024-03-23,2023-05-01,2023,5,ICT Sin Diésel,135.71,2.4,0.214935
2024-03-23,2023-06-01,2023,6,ICT Sin Diésel,135.06,-0.5,0.273014
2024-03-23,2023-07-01,2023,7,ICT Sin Diésel,135.62,0.4,0.252479
2024-03-23,2023-08-01,2023,8,ICT Sin Diésel,136.77,0.8,0.273653
2024-03-23,2023-09-01,2023,9,ICT Sin Diésel,137.68,0.7,0.293259
2024-03-23,2023-10-01,2023,10,ICT Sin Diésel,139.87,1.6,0.267782
2024-03-23,2023-11-01,2023,11,ICT Sin Diésel,139.97,0.1,0.360104
2024-03-23,2023-12-01,2023,12,ICT Sin Diésel,141.37,1.0,0.439466
